Management,Model,SKU,Domain Code,Device Type,Deployment,Wi-Fi,Radio Config,Spatial Streams,Bands (GHz),Antenna Type,Uplink Speed,Ports,Ports notes,PoE Class,Rugged,Features,Datasheet Link,Lifecycle Status,Notes
Meraki,Meraki MR46E,MR46E,No,Indoor,Cloud (Meraki),6,4x4 (2.4 / 5 GHz),8,2.4 / 5,External,2.5G mGig,1,,at,No,"Security radio, Air Marshal",https://documentation.meraki.com/Wireless/Product_Information/Overviews_and_Datasheets/MR46E_Datasheet,AEOS 31-Dec-2026,
Meraki,Meraki MR76,MR76,No,Outdoor,Cloud (Meraki),6,2x2 (2.4 / 5 GHz),4,2.4 / 5,External,1G,1,,at,Yes (base / outdoor IP67),"Security radio, Air Marshal",https://documentation.meraki.com/Wireless/Product_Information/Overviews_and_Datasheets/MR76_Datasheet,Current,
Meraki,Meraki MR78,MR78,No,Outdoor,Cloud (Meraki),6,2x2 (2.4 / 5 GHz),4,2.4 / 5,Internal,1G,1,,at,Yes (base / outdoor IP67),Air Marshal,https://documentation.meraki.com/Wireless/Product_Information/Overviews_and_Datasheets/MR78_Datasheet,Current,
Meraki,Meraki MR86,MR86,No,Outdoor,Cloud (Meraki),6,4x4 (2.4 / 5 GHz),8,2.4 / 5,External,2.5G mGig,1,,at/bt,Yes (base / outdoor IP67),"Security radio, Air Marshal",https://documentation.meraki.com/Wireless/Product_Information/Overviews_and_Datasheets/MR86_Datasheet,Current,
Catalyst IW,Catalyst IW9167E (Heavy Duty),"IW9167EH-E-AP, IW9167EH-E-URWB, IW9167EH-E-WGB",Yes,Outdoor,On-Prem (Catalyst),6E,Tri-radio 4x4,12,2.4 / 5 / 6,External,10G mGig,2,10mGig SFP (copper/fiber) + 5mGig RJ45,bt,Yes (base / IP67 heavy duty),"GNSS/GPS, URWB, HeavyDuty",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-iw9167-series/cat-iw9167e-heavy-duty-ap-ds.html,,"Supports M12 X-code autosensing PoE+ in (802.3af/at), UPOE in"
Catalyst IW,Catalyst IW9167I (Heavy Duty),IW9167IH-E-AP,Yes,Outdoor,On-Prem (Catalyst),6E,Tri-radio 4x4,12,2.4 / 5 / 6,Internal (omni),10G mGig,2,10mGig SFP (copper/fiber) + 5mGig RJ45,bt,Yes (base / IP67 heavy duty),"GNSS/GPS, URWB, HeavyDuty",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-iw9167-series/cat-iw9167e-heavy-duty-ap-ds.html,,"Supports M12 X-code autosensing PoE+ in (802.3af/at), UPOE in"
Catalyst IW,Catalyst IW9167E-HZ (HAZLOC),IW9167EH-E-HZ,Yes,Outdoor,On-Prem (Catalyst),6E,Tri-radio 4x4,12,2.4 / 5 / 6,External,10G mGig,2,10mGig SFP copper + 5mGig RJ45,bt,Yes (IP67 + HAZLOC Class I Div 2; UL/ATEX/IECEx),"GNSS/GPS, URWB, HeavyDuty",https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-iw9167-series/cat-iw9167e-heavy-duty-ap-ds.html,,"Supports M12 X-code autosensing PoE+ in (802.3af/at), UPOE in"
Catalyst IW,Catalyst IW9165E (Rugged),"IW9165E-E-AP, IW9165E-E-WGB, IW9165E-E-URWB",Yes,Outdoor,On-Prem (Catalyst),6E,Dual 2x2,4,5-Ghz / 6-Ghz,External,2.5G,2,"1 2.5G, 1 RJ45, 2 GPIO ports",at,Yes (base / IP30 rugged),"GNSS/GPS, URWB, HeavyDuty",https://www.cisco.com/c/en/us/products/collateral/networking/industrial-wireless/catalyst-iw9165-series-ds.html,,"Supports M12 X-code autosensing PoE+ in (802.3af/at), UPOE in"
Catalyst IW,Catalyst IW9165D (Heavy Duty),"IW9165DH-E-AP, IW9165DH-E-URWB",Yes,Outdoor,On-Prem (Catalyst),6E,Dual 2x2,4,5-Ghz / 6-Ghz,"Internal (directional), external",1G,1,1 RJ45,at/bt,Yes (base / IP67 heavy duty),"GNSS/GPS, URWB, HeavyDuty",https://www.cisco.com/c/en/us/products/collateral/networking/industrial-wireless/catalyst-iw9165-series-ds.html,,"Supports M12 X-code autosensing PoE+ in (802.3af/at), UPOE in"
Cisco Business,Cisco Business 150AX,CBW150AX-E-EU,Yes,Indoor,"Embedded (CBW, controllerless)",6,2x2 (2.4 GHz) + 2x2 (5 GHz),4,2.4 / 5,Internal (omni),1G,1,1x GbE RJ45 (PoE in),af/at,No,"Mesh (Primary AP), Bluetooth 5 (BLE), Umbrella (optional)",https://www.cisco.com/c/en/us/products/collateral/wireless/business-100-series-access-points/business-access-point-ds.html,Current,Managed via WebUI / Cisco Business Mobile app / Business Dashboard 2.4.1+ - no controller or license; passive PoE injector included in box for -E-EU SKU; not compatible with CBW14x/240 on same network; 9.2W max draw
Cisco Business,Cisco Business 151AXM (Extender),CBW151AXM-E-EU,Yes,Indoor,Embedded (CBW mesh extender),6,2x2 (2.4 GHz) + 2x2 (5 GHz),4,2.4 / 5,Internal (omni),Wireless mesh only,0,No Ethernet port; AC wall-plug design,N/A (AC powered 100-240V),No,"Mesh extender, Bluetooth 5 (BLE)",https://www.cisco.com/c/en/us/products/collateral/wireless/business-100-series-mesh-extenders/busines-mesh-extender-ds.html,Current,"Requires CBW150AX as Primary AP; max 25 extenders per AP, 8 hops; plugs directly into AC outlet; Kensington lock slot; 8.3W draw"
